Country,Country Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Lower secondary school enrollment,Upper secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy,Premature deaths from non-communicable diseases,Obesity rate,Outdoor air pollution attributable deaths,Suicide rate,Greenhouse gas emissions,Water withdrawals as a percentage of resources,Biodiversity and habitat,Political rights,Freedom of speech,Freedom of assembly/association,Freedom of movement,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Number of globally ranked universities,Depth of food deficit - capped,Household air pollution attributable deaths - bucketed,Adult literacy rate - capped,Lower secondary school enrollment - capped,Upper secondary school enrollment - capped,Gender parity in secondary enrollment - capped,Mobile telephone subscriptions - capped,Greenhouse gas emissions - bucketed,Number of globally ranked universities - bucketed
Ethiopia,ETH,41.04,44.04,50.49,28.59,61.17,23.5,37.85,53.66,40.7,33.09,73.9,54.26,25.76,48.84,34.01,5.74,35,261,420,64.4,558.9209,9.9659934,42.0605281,23.58633,0.408206586,23,2.826050953,82.5862,5,2,3,3.5,17.6,49.0907,67.93363953,38.22359085,7.794990063,0.628260016,27.25468539,1.9,40.58,62.96595122,15.20765,1.2,12.7939,10.8568,1212.341348,0.611776827,83.78,6,0,0,3,30,0.643726057,2,0.23,53.8,33,0.636101191,0.035146442,8.9,2,0.639857605,,2.1,0.442999998,0,261,4,49.0907,38.223591,7.7949901,0.62826002,27.254685,1,0
Finland,FIN,86.75,95.05,82.58,82.63,99.58,99.84,91.49,89.29,99.4,95.2,75.8,59.94,87.91,91.54,80.69,70.38,5,8,4,2.6,8.98593,99.4065785,100,100,0.651227142,100,6.754883384,0,2,1,2,1,5.1,100,98.81474304,98.98861694,115.5852814,1.047070026,171.7184915,91.5144,6.4,80.62682927,11.22937,19.9,8.41924,17.9512,337.4560935,0.982448977,61.86,1,1,2,4,90,0.926348335,4,0.01,87,89,0.721818527,0.682743356,1.3,3,0.948100414,0.93,13.4,0.021,10,8,6,99,98.988617,100,1,100,2,3
France,FRA,80.82,91.16,78.83,72.46,99.2,100,85.09,80.35,99.4,86.02,75.36,54.55,80.47,81.02,62.01,66.34,5,8,9,4.2,21.35432,99.9950435,100,100,0.411136936,100,6.472904656,0,1,2,3,1.5,6.4,99,98.23851013,106.9089508,113.4614792,1.008219957,98.49547248,81.9198,21.89,82.56585366,11.37561,15.6,26.9204,16.6438,205.6858328,1.750634001,54.45,1,1,2,3,80,0.792511694,3,0.01,89.6,69,0.72351925,0.663310409,6.4,2,0.872874119,0.73,12.5,0.085999998,44,8,6,99,100,100,1,98.495472,2,4
Georgia,GEO,65.89,80.15,69.61,47.92,93.59,90.95,66.81,69.24,95.17,72.98,60.98,49.31,48.16,59.18,29.27,55.06,9.8,74,41,13.1,39.31093,79.7501378,97.2745955,93.2600117,0.682518328,100,5.156204253,107.515,2,3,2,2.5,15.7,99.7609,98.34603119,110.3296585,81.21980286,0.948319972,115.0251043,43.1,29.78,73.94487805,21.59142,21.2,75.3599,4.84495,491.6641221,1.511845034,29.59,3,1,0,3,40,0.655833392,3,0.14,52.8,52,0.483347752,0.052518899,8,2,0.54956653,,13.1,0.033,0,74,3,99,100,81.219803,0.94831997,100,2,0
Germany,DEU,84.04,94.12,81.5,76.49,99.25,100,88.8,88.41,97.62,91.66,71.24,65.48,79.83,84.85,70.56,70.73,5,8,7,3.9,21.6319,100,100,100,0.663368273,100,6.141544373,0,1,2,2,1,4.7,99,97.93325043,99.64180756,104.3186417,0.947790027,119.0306009,83.9614,10.23,80.89268293,12.31624,21.3,50.5289,10.5549,263.397377,1.895268618,100,1,1,1,4,90,0.895169242,3,0,80,79,0.747704589,0.702710449,4.3,2,0.935569579,0.81,12.7,0.024000001,44,8,6,99,99.641808,100,0.94779003,100,2,4
Ghana,GHA,58.29,55.5,68.43,50.93,80.17,41.44,45.69,54.69,76.45,70.01,70.37,56.9,78.63,57.56,44.08,23.46,5,24,380,78.4,475.96407,19.2483169,81.2544556,14.4267655,0.337832532,60.5,2.951433102,92.9769,4,3,3,2.5,22.2,76.57281,87.07447815,85.34146118,42.00038147,0.909810007,108.1911482,12.3,16.29,60.94712195,20.28288,8,20.8336,2.11967,327.7104546,0.108839883,34.26,1,1,2,4,50,0.654038596,4,0.09,34.6,48,0.617113907,0.07410628,4.9,2,0.650347012,0.1,6.9,0.35557,1,24,4,76.57281,85.341461,42.000381,0.90981001,100,2,1
Greece,GRC,74.03,87.64,74.53,59.91,99.21,99.15,81.03,71.16,98.7,76.88,71.87,50.67,64.8,50.96,56.94,66.92,5,8,5,4.4,24.11475,99.4943566,99.4221489,98.6378794,0.493896372,100,5.263766211,0,1,3,3,2,12.2,97.68686,99.52346802,103.94104,111.6883163,0.973070025,116.8206478,59.8663,31.33,80.63414634,12.88024,17.5,71.0945,3.06449,358.768623,3.27257144,66.49,2,1,1,4,40,0.355263927,2,0.04,58.1,43,0.670641649,0.373988699,5.1,2,0.831910893,1.03,12.9,0.113000001,6,8,6,97.68686,100,100,0.97307003,100,2,3
Guatemala,GTM,62.19,69.32,68.96,48.29,86.07,84.36,66.64,40.23,78.86,64,74.26,58.71,64.8,61.23,51.81,15.34,14.3,92,140,31,212.72109,85.6050432,88.5630388,80.3080867,0.533017539,81.78,5.431504719,50.2197,5,5,5,2.5,6.7,81.5464,92.84107971,70.6129837,56.44425964,0.914160013,140.393535,19.7,36.61,71.66385366,13.53943,20.7,9.59404,8.69514,335.8922503,1.010346498,57.55,3,1,2,4,20,0.832078744,4,0.2,63.5,32,0.480359068,0.297582494,7.6,4,0.830623501,0,5.4,0.361000001,0,92,4,81.5464,70.612984,56.44426,0.91416001,100,2,0
Guinea,GIN,39.6,40,51.2,27.59,63.14,33.59,24.16,39.13,42.86,48.69,67.33,45.91,30.37,34.51,39.59,5.88,18.1,128,650,100.7,679.5984,13.0340269,65.0439194,18.9463564,0.417367367,20.2,1.294335096,109.629,5,4.5,4,3,19.6,30.40826,74.38332367,44.76980972,28.35139084,0.631380022,63.31503903,1.6,31.67,55.84465854,20.88827,4.7,28.519,2.72141,1489.968414,0.058241578,41,5,1,0,2,15,0.671572738,3,0.38,13.3,25,0.76458834,0.096496027,8.4,2,0.636831797,,1.6,0.42,0,128,3,30.40826,44.76981,28.351391,0.63138002,63.315039,1,0
Guyana,GUY,60.42,68.8,60.57,51.89,86.54,84.72,56.14,47.79,87.27,61,48.68,45.31,59.63,55.42,55.32,37.21,10,68,250,36.6,177.24586,67.2922882,97.9351649,83.6433152,0.416793723,77.6,2.726071428,23.361,4,4.5,3,2,27.8,88.49968,71.53247833,103.9325638,95.97164917,1.153749943,69.41295352,33,27.08,66.04626829,37.23384,16.9,9.65837,29.7229,853.0922369,1.77932534,18.66,2,0,2,4,25,0.655203261,4,,60.4,30,0.559532702,0.186596021,6.2,4,0.835166093,0.01,11.1,0.105,0,68,5,88.49968,100,95.971649,1,69.412954,2,0
Honduras,HND,61.44,65.29,72.71,46.32,89.4,81.65,55.67,34.45,86.35,61.91,74.66,67.91,50.48,57.19,52.36,25.24,12.1,84,120,22.2,117.53191,88.0325425,81.5229459,79.984226,0.428721233,80.98,3.641095096,82.6802,5,5,5,2.5,18.8,88.48381,94.01339722,74.57987213,70.81989288,1.218039989,95.91916853,17.8,37.14,73.49343902,15.72406,19.8,7.0319,7.91211,568.6922653,0.068147511,76.81,4,1,1,3,30,0.685324299,4,0.25,76.2,29,0.424500868,0.296540831,6.1,4,0.787666403,0.17,7.8,0.29574,0,84,4,88.48381,74.579872,70.819893,1,95.919169,2,0
Hungary,HUN,74.8,88.8,70.4,65.21,98.99,98.42,78.75,79.06,96.4,82.13,49.13,53.95,68.28,70.7,60.13,61.72,5,8,14,6.1,16.83285,94.2914912,100,99.9994286,0.527224788,100,5.870209931,43.6276,1,2,3,1.5,9.1,99.05043,91.27198792,100.7178421,102.3839035,0.979579985,116.4278724,72.6439,26.73,75.06341463,24.01077,24.8,91.9908,20.7568,294.2096955,0.49486483,29.57,2,1,1,4,55,0.633985774,3,0.01,82.4,54,0.574872139,0.320933264,4.4,3,0.871733201,0.74,12.6,0.035,4,8,5,99,100,100,0.97957999,100,2,2
Iceland,ISL,87.62,95,86.11,81.73,99.57,100,86.87,93.57,98.88,95.73,80.96,68.89,87.91,86.06,89.54,63.43,5,8,4,2.1,13.98407,100,100,100,0.458503897,100,6.637796903,0,1,1,2,1,2.8,99,98.45644379,96.97396088,116.8234177,1.007750034,108.1111263,96.5468,8.5,82.91707317,10.18276,21.9,6.719,9.18249,233.5648382,0.136669564,81.9,1,1,2,4,90,0.912187566,3,0.01,,79,0.783632647,0.822037712,1,4,0.957377244,0.92,,0.025,1,8,6,99,96.973961,100,1,100,2,1
India,IND,53.06,58.87,57.38,42.93,81.78,54.53,48.1,51.06,80.32,51.43,55.45,42.3,55.07,56.25,28.22,32.19,15.2,109,190,52.7,252.98455,25.6522245,90.714717,35.96408,0.462030917,75,3.433657134,124.495,2,3,4,4,18.9,71.23572,93.34442139,86.45632935,54.83856964,0.939989984,70.78318167,15.1,40.34,66.21085366,26.24936,1.9,51.2122,25.2215,416.934537,3.584886835,39.18,2,1,0,3,55,0.771745171,2,0.28,71.7,38,0.340530596,0.242201673,7.8,1,0.616586843,0.3,5.6,0.42112,14,109,3,71.23572,86.456329,54.83857,0.93998998,70.783182,2,4
Indonesia,IDN,60.47,66.52,69.54,45.35,89.13,53.78,66.38,56.78,90.63,62.36,71.5,53.66,49.28,57.74,32.2,42.18,8.7,59,190,29.3,162.3835,20.6270884,76.4114014,58.8274291,0.632717793,94.15,4.340152503,96.6884,2,4,3,3,17.7,93.88262,92.21827698,91.15693665,73.43013763,1.032439947,121.5434067,15.82,38.15,70.6072439,23.12596,4.7,26.5973,4.61995,405.5018257,3.264861142,78.08,2,1,0,3,30,0.685652655,1,0.14,79.5,34,0.256395584,0.025836735,7.6,1,0.89123864,0.25,8.9,0.23204,8,59,4,93.88262,91.156937,73.430138,1,100,2,3
Iran,IRN,56.82,78.42,61.14,30.9,96.43,90.4,73.69,53.14,91.89,47.8,68.58,36.3,5.75,48.02,31.94,37.9,5,33,23,16.8,56.21823,91.6254594,91.7114834,89.3631492,0.200990004,98.4,5.096440817,3.56871,2,2,3,4,34.1,86.84683,99.84590149,100.8954163,76.82196808,0.937390029,84.24610052,31.4,72.29,73.76273171,17.28565,21.6,43.6534,5.03606,594.0435943,4.781554087,37.06,6,0,0,0,10,0.573862402,1,0.21,70.9,27,0.501752767,,8.8,2,0.660541795,0.68,8.3,0.373,3,33,6,86.84683,100,76.821968,0.93739003,84.246101,2,2
Iraq,IRQ,48.35,63.11,55.29,26.67,81.75,73.29,75.48,21.91,69.59,56.39,62.4,32.8,13.8,33.45,29.92,29.49,23.5,190,67,34,86.96357,74.3626874,68.5027843,84.7076472,0.336942417,98,,8.08247,5,5,5,4,31.5,79.6875,91.75324249,65.79888153,39.52219009,0.747969985,96.10477428,9.2,45.44,69.24192683,23.71483,29.4,37.236,2.62874,546.8113847,3.483184717,0,6,0,0,1,,0.293869556,1,0.19,53.1,16,0.558090182,0.095090089,10,1,0.727360339,0.48,5.5,0.298,1,190,6,79.6875,65.798882,39.52219,0.74796999,96.104774,2,1
Ireland,IRL,84.66,93.68,76.34,83.97,99.23,99.44,87.65,88.41,98.4,89.87,76.95,40.15,86.75,85.97,85.74,77.41,5,8,9,3.8,21.5292,99.7246,99.6552458,98.9823838,0.550846204,100,6.394397471,0,1,2,2,1,4.7,99,95.31687927,109.1780777,134.5372009,1.021219969,102.755635,78.2477,10.87,80.89512195,11.1079,24.5,14.9282,10.2686,292.1987351,2.917039654,18.74,1,1,2,4,85,0.917955967,4,0,79.6,74,0.858958356,0.7715403,1.6,3,0.962899093,1.49,13.2,0.052,9,8,6,99,100,100,1,100,2,3
Israel,ISR,72.6,86.96,72.99,57.85,99.21,100,81.42,67.2,98.59,79.88,76.83,36.68,47.78,67.5,39.65,76.47,5,8,2,4,31.22353,100,100,100,0.356829809,100,5.946357891,0,2,2,3,4,4.7,97.76419,96.7011795,103.0124664,100.2941666,1.020349979,122.8478352,70.8,31.19,81.70487805,9.47646,25.5,32.4226,6.5846,371.6067503,4.825385575,39.34,1,1,0,0,75,0.68387824,2,0.03,66.6,60,0.481679182,0.420921998,9.7,1,0.869914268,1.44,13.8,0.079379999,7,8,6,97.76419,100,100,1,100,2,3
Italy,ITA,77.38,88.39,77,66.76,99.4,99.93,83.62,70.62,98.27,79.49,76.55,53.7,79.79,63.44,64.21,59.6,5,8,4,3.6,15.49483,99.7486573,100,,0.465723659,100,5.928805233,0,1,3,4,1.5,7.2,99.15498,97.22396088,106.3436127,97.38527679,0.986639977,158.8835332,58.4593,23.75,82.93658537,9.83219,17.2,54.2856,5.3998,238.7655294,3.350267831,79.77,1,1,2,4,55,0.615912494,3,0,64.3,43,0.675917595,0.573279787,4.6,2,0.896621848,0.4,12.4,0.116999998,36,8,6,99,100,97.385277,0.98663998,100,2,4
Jamaica,JAM,69.83,70.52,72.84,66.14,93.25,80.2,67.8,40.82,90.64,78.98,73.45,48.28,82.65,72.78,63.37,45.76,7.9,56,80,16.6,96.97757,70.3681299,88.7916691,80.1912717,0.430594224,92,4.400036821,15.091,5,5,4,3,11.6,88.69002,,88.11179352,91.90644073,1.056450009,100.4233288,37.8,10.9,73.2824878,17.02184,24.6,18.3875,1.17311,494.9097042,5,88.04,2,2,2,4,40,0.780453309,4,0.01,82.9,38,0.701385486,0.097403225,4,4,0.856106985,0.49,11.7,0.106,0,56,5,88.69002,88.111794,91.906441,1,100,2,0
Japan,JPN,83.15,95.01,78.78,75.66,99.22,99.55,91,90.27,99.97,86.07,75.63,53.46,95.36,78.91,60.31,68.05,5,8,6,2.9,33.91792,98.39501,100,100,0.737483376,100,6.274666642,0,1,1,2,1.5,5.2,99,99.91706848,101.0781403,102.5406723,1.003790021,115.1885934,86.25,26.02,83.09609756,9.34599,4.5,51.0203,18.0639,298.5118636,3.054321889,73.53,1,2,2,4,80,0.754844938,4,0.01,69.2,76,0.533487338,0.275605217,4.1,3,0.911080882,1,13.9,0.198,38,8,6,99,100,100,1,100,2,4
Jordan,JOR,63.31,82.63,64.93,42.38,96.63,92.34,75.55,65.99,93.62,69.1,67.09,29.9,27.59,61.72,36.71,43.48,5,12,50,18.7,52.52913,90.6695595,90.4711764,98.0721581,0.19958325,99.4,5.442117753,3.72747,1,2,3,3,22.9,95.3725,97.11110687,92.42987061,78.49816895,1.027760029,141.7962745,44.2,40.42,73.74739024,19.76188,34.3,26.7947,2.47262,357.7177424,4.594449768,8.52,6,0,0,2,60,0.708530877,2,0.07,57.4,49,0.351806531,,7.4,2,0.813073876,0.44,11.8,0.224,2,12,6,95.3725,92.429871,78.498169,1,100,2,1
Kazakhstan,KAZ,61.38,77.17,58.21,48.75,96.99,81.84,69.75,60.11,92.27,66.02,40.59,33.94,29.25,58.71,43.01,64.02,5,18,26,16.3,55.27089,61.0298404,85.9891391,97.4882555,0.37066845,100,4.68071357,39.4391,3,2,3,3,21.9,99.79017,85.63504028,102.9825668,87.03164673,0.967899978,180.5020819,54,54.94,69.61,33.89241,24.4,63.0698,31.6024,880.4698396,4.018548002,14.11,6,1,0,2,25,0.699608075,1,0.05,73.3,29,0.420669682,0.092298838,6.5,3,0.761595994,0.77,12.2,0.059,9,18,5,99,100,87.031647,0.96789998,100,2,3
Kenya,KEN,51.67,46.48,68.17,40.36,67.13,34.36,45.97,38.48,76.04,61.59,72.2,62.86,32.16,59.04,37.97,32.27,24.3,156,400,70.7,657.47542,20.2970549,55.0547938,29.6036274,0.557487626,23,3.864763776,59.2978,5,4,4,3.5,20.9,77.96503,81.76461029,90.43051147,43.88888168,0.903310001,70.58942851,39,30.7,61.08317073,18.11377,4.7,1.7789,10.4397,531.3951651,0.682811601,67.96,4,1,0,1,30,0.815622297,3,0.13,61.1,25,0.718923877,0.141190217,9.3,1,0.764794319,0.26,9.2,0.307,1,156,4,77.96503,90.430511,43.888882,0.90331,70.589429,2,1
"Korea, Republic of",KOR,77.7,89.11,75.6,68.4,98.81,92.54,82.24,82.84,98.27,85.81,72.97,45.34,67.79,72.04,60.49,73.26,5,6,27,3.7,33.80374,93.404155,87.9498395,100,0.562384258,93.34233,5.537945485,0.0113569,2,1,2,1.5,14.1,97.9,99.12359619,99.97342682,94.66696167,0.986739993,110.9984678,84.77,25.66,81.36829268,9.34175,7.3,47.8335,21.7748,475.8338379,3.543805295,50.4,2,1,1,3,75,0.602516575,4,0,81.4,55,0.546057638,0.179591179,3.1,4,0.786830564,1.49,14.6,0.281,24,8,6,97.9,99.973427,94.666962,0.98673999,100,2,4
Kuwait,KWT,69.19,86.28,73.96,47.35,97.54,99.29,68.74,79.53,95.36,81.32,69.48,49.67,35.63,63.28,53.2,37.28,5,17,14,9.5,82.48296,,98.9999822,100,0.30736779,94.13527,5.032008199,10.3664,2,1,2,2,16.5,96.27382,92.10572052,107.2889862,90.75460815,1.007429957,190.2883477,75.46,30.71,74.359,11.80245,42.8,30.1701,2.18785,759.2911278,4.964874491,92.88,5,0,1,2,45,0.746635929,2,0.05,61.8,44,0.691631308,,4.9,2,0.859428149,0.28,9.2,,1,17,5,96.27382,100,90.754608,1,100,2,1
Kyrgyzstan,KGZ,58.58,67.87,61.16,46.7,94.15,76.34,51.28,49.71,92.14,67.11,54.68,30.7,39.61,55.74,41.09,50.36,6,41,75,24.2,65.80179,53.9508236,82.3428345,91.7754936,0.468264868,100,2.857395531,123.837,4,4,3,3,19.2,99.52097,90.50724792,93.05902863,78.1049118,0.995540023,121.4498189,23.4,31.24,70.00243902,28.54902,17.2,53.6678,16.0346,634.5974395,4.821997893,15.77,5,1,1,2,20,0.664931328,2,0.08,63.9,27,0.491803343,0.050021242,8.2,2,0.893044015,0.6,12.3,0.0659,0,41,3,99,93.059029,78.104912,0.99554002,100,2,0
Laos,LAO,52.41,60.43,61.7,35.09,74.73,51.44,47.23,68.32,72.24,37.04,65.05,72.49,13.72,56.83,52.88,16.94,21.8,154,220,71.4,328.74779,24.9047711,64.8854302,64.6153443,0.437591422,66,5.024946563,159.911,2,2,3,2,20.4,79.8604,95.87677765,58.13010025,31.6439209,0.872500002,66.1975734,12.5,71.22,67.80592683,24.18693,3,39.7031,11.4151,797.8168913,0.014155122,93.85,7,0,0,2,15,0.86915835,2,0.2,63.9,25,0.625736287,0.407271258,6,3,0.69078441,0.17,4.3,0.34063,0,154,2,79.8604,58.1301,31.643921,0.8725,66.197573,2,0
Latvia,LVA,74.12,83.84,77.76,60.75,98.67,86.11,75.53,75.07,97.54,85.04,57.18,71.29,67.12,68.02,51.27,56.58,5,8,13,8.4,26.00504,81.7369104,95.8100261,78.5678611,0.469183028,100,5.453370888,14.7657,2,2,3,1.5,10.8,99.89138,97.67801666,99.20072174,96.54884338,0.967019975,136.5642484,75.2344,21.1,73.77804878,24.14147,22,50.9238,18.0576,289.0559115,0.351614149,95.17,2,1,1,4,50,0.5952571,3,0.01,74.6,55,0.413711535,0.197649545,5.8,4,0.796156818,0.6,13,0.035999998,1,8,5,99,99.200722,96.548843,0.96701998,100,2,1
Lebanon,LBN,61.85,75.69,65.89,43.97,97.52,98.88,57.71,48.66,88.5,72.96,73.69,28.41,39.61,56.43,32.86,46.97,5,35,16,9.1,30.45549,97.9855099,100,98.2540919,0.274914311,99.9,1.365983982,0.977172,2,3,5,3,22.3,93.94225,93.2470932,86.30834961,62.55566025,1.008119941,80.56367407,70.5,31.89,79.84636585,12.38649,28.2,42.709,2.14607,305.9426617,4.540996616,1.71,5,1,1,2,20,0.649658933,3,0.03,52.8,27,0.527255599,0.119387624,8.9,1,0.747043957,,10.9,0.24053,3,35,6,93.94225,86.30835,62.55566,1,80.563674,2,2
Lesotho,LSO,52.27,48.62,55.82,52.35,64.8,44.79,34.19,50.71,73.12,58.67,60.61,30.9,61.95,62.65,55.34,29.46,11.5,78,490,98,1110.4865,21.5384503,76.654097,29.6108543,0.375279736,17,3.725851918,121.19,5,3,3,2,28.4,79.36094,81.63337708,62.44292068,39.24991989,1.398620009,86.30152835,5,28.36,48.836,23.87699,16.9,4.7225,7.61259,569.4913467,3.972669119,1.3,2,0,2,4,35,0.617836205,4,0.15,69.6,49,0.44470906,0.182291984,4.7,4,0.822656382,0.06,9.8,0.243000001,0,78,3,79.36094,62.442921,39.24992,1,86.301528,2,0
Liberia,LBR,44.89,41.15,53.23,40.3,59.78,29.32,22.2,53.29,43.79,48.61,72.03,48.49,60.84,48.1,43.01,9.26,29.6,220,640,71.1,609.06918,3.5563134,63.0017706,16.801072,0.215739307,4.1,2.551678273,110.242,4,3,4,2,19,47.60013,40.6207695,49.40988922,40.34474945,0.820479989,59.50978522,4.6,30.65,60.20639024,21.19093,5.5,6.97985,3.0917,574.4708053,0.273278189,4.13,3,1,2,3,25,0.559956923,4,0.2,35.8,37,0.553863263,0.035605284,6.5,3,0.69202891,0.17,3.1,0.464,0,220,3,47.60013,49.409889,40.344749,0.82047999,59.509785,2,0
Lithuania,LTU,74,83.75,74.79,63.47,99.05,90.69,73.53,71.75,97.22,83.96,51.38,66.6,72.87,63.32,52.29,65.39,5,8,11,4.9,25.50468,91.7015373,88.8578877,94.3444044,0.345982266,100,5.576711288,16.7058,3,2,3,1.5,11.1,99.81988,95.8453064,103.6320496,111.611702,0.955869973,151.3449586,68.4529,19.2,73.86341463,22.38482,24.7,53.0656,31.244,317.0987995,1.193841419,91.83,1,1,1,4,60,0.443900857,3,0,68.6,58,0.388149255,0.197499667,4,3,0.825729045,0.98,13.2,0.060999999,4,8,5,99,100,100,0.95586997,100,2,2
Macedonia,MKD,67.79,83.53,67.04,52.8,99.05,93.78,68.07,73.22,89.53,75.24,59.78,43.62,64.85,52.05,46.9,47.42,5,8,7,6.6,16.89418,89.5194424,98.838195,91.3520535,0.521172652,99,4.946723782,73.2459,1,3,3,2,7.9,97.82632,86.54840851,89.49124146,77.15200043,0.990660012,106.1738133,61.2,36.43,75.03126829,22.10894,20.3,80.6443,6.50216,522.3046519,2.645752234,27.54,4,1,2,4,35,0.618645166,3,0.07,23.6,45,0.617558698,0.088719121,7.3,3,0.780787445,,11.6,0.10592,0,8,4,97.82632,89.491241,77.152,0.99066001,100,2,0
Madagascar,MDG,44.5,41.93,53.53,38.04,66.66,16.35,29.35,55.37,63.14,40.57,70.93,39.49,45.88,39.92,45.02,21.35,30.5,208,440,56,429.89085,6.6041163,35.3548845,13.9442809,0.507844485,14.3,2.266520412,149.934,3,3,3,3.5,18.4,64.6563,,50.6198082,19.25972939,0.953760028,36.13369614,2.2,29.38,64.24863415,23.42268,1.7,3.30004,10.083,1640.008675,1.247565555,37.08,4,1,0,3,45,0.525051539,3,0.4,55.1,28,0.520895641,0.055957185,4.9,3,0.655214114,,5.7,0.301,0,208,3,64.6563,50.619808,19.259729,0.95376003,36.133696,1,0
Malawi,MWI,48.95,46.42,57.31,43.12,65.36,37.82,29.69,52.81,64.9,40.58,66.16,57.6,61.36,57.94,35.58,17.6,21.8,148,510,67.9,777.64811,7.6762978,83.2202829,10.2820466,0.43169157,8.7,2.941923016,140.294,5,3,3,2.5,19.5,65.79427,96.90133667,42.2967186,16.86650085,0.898970008,32.33015944,5.4,28.29,54.72378049,18.74127,4.5,2.10036,17.2726,1536.636725,0.105264432,87.81,3,1,1,4,40,0.783729619,4,0.26,63.9,33,0.440282568,0.036731463,5.7,3,0.511616107,0.01,5.1,0.302,0,148,3,65.79427,42.296719,16.866501,0.89897001,32.330159,1,0
Malaysia,MYS,69.55,86.13,74.87,47.66,96.77,97.06,83.78,66.93,88.29,74.31,73.95,62.91,33.31,63.19,39.02,55.11,5,23,29,8.5,117.35966,96.8847826,98.531875,95.6723387,0.525819105,99.3,5.731564523,3.68627,2,2.5,2,2.5,25,94.6446,97.03121185,91.86858368,49.35168839,0.971459985,144.6850309,66.97,42.73,74.84229268,19.62559,14.1,20.9537,3.8538,486.6791056,2.087355521,93.37,4,0,0,2,55,0.785302254,1,0.06,57,52,0.280681503,0.103189466,6.2,2,0.829379841,0.45,11.6,,7,23,6,94.6446,91.868584,49.351688,0.97145998,100,2,3
Mali,MLI,46.51,48.48,52.45,38.6,71.91,29.69,34.08,58.22,48.2,59.45,63.69,38.45,60.78,35.61,49.43,8.57,5,23,550,122.7,588.26689,13.8529439,54.1630969,21.9200742,0.423609999,16.6,3.510617264,109.041,3,3,2,3.5,23.1,38.70194,68.72776031,59.54864883,27.29759979,0.715020001,129.0669372,2.3,36.29,54.60392683,25.6494,4.8,28.7569,2.78487,1106.885951,0.204415117,14.3,5,2,1,4,25,0.663227566,4,0.53,26.9,32,0.862957715,0.023890431,7.5,2,0.819691424,0.06,1.3,0.369000002,0,23,3,38.70194,59.548649,27.2976,0.71502,100,1,0
Mauritania,MRT,45.85,47.73,59.08,30.73,77.14,30.76,36.18,46.83,49.08,64.34,68.67,54.23,27.56,38.73,48.03,8.61,6.5,41,320,90.1,619.09814,23.0886313,47.6727077,26.6889718,0.280191405,18.2,3.27216483,68.7916,4,3,4,2.5,28,52.102,69.56433868,31.96199036,19.25094986,0.846620023,102.5274559,6.2,26.53,61.35060976,15.8275,14,37.2462,2.73134,873.8174334,0.604108712,32.63,6,0,1,2,25,0.59977635,2,0.28,27.1,30,0.599016432,0.047604906,7.2,4,0.738695614,0.08,3.4,0.459,0,41,4,52.102,31.96199,19.25095,0.84662002,100,2,0
Mauritius,MUS,73.66,88.02,72.09,60.88,95.71,96.87,82.17,77.33,95.77,72.7,70.65,49.23,72.34,70.8,63.81,36.57,5,36,73,14.3,61.77197,99.7820189,99.744734,90.7740427,0.497284232,100,5.487998525,3.54304,2,2,2,2,12.2,90.62253,97.80197906,104.9876328,89.22424316,1.041839957,123.2398186,39,27.69,73.56634146,24.00981,18.2,5.61208,6.69639,342.2017726,,43.7,1,0,2,4,65,0.834526071,4,0.1,63.5,54,0.786496516,0.241637419,3.5,3,0.799080778,0.15,10.2,0.131999998,0,36,6,90.62253,100,89.224243,1,100,2,0
Mexico,MEX,67.5,72.81,68.82,60.88,96.27,88.47,71.48,35.03,92.46,62.3,72.02,48.5,71.76,63.08,54.1,54.57,5,32,49,14.5,57.03618,90.9360317,90.7734498,85.2826973,0.485272626,99.24,4.576183849,16.1083,5,5,4,4,14.7,95.14311,96.34474182,108.5832367,62.09257889,1.07991004,85.83640136,43.46,45.04,77.13507317,15.74976,32.8,18.0633,4.48051,371.8747377,3.516053768,62.32,3,1,2,4,50,0.758007732,3,0.17,80.8,35,0.580044234,0.603558165,6.1,2,0.766529951,0.62,10.1,0.213999999,13,32,5,95.14311,100,62.092579,1,85.836401,2,4
